"fk_event_id";"fk_result_id";"fk_rider_id";"fk_circuit_id";"fk_team_id";"position";"points";"gap_lap";"total_laps";"rider_type";"ground_condition";"humidity_condition";"weather_condition";"track_condition";"date";"month";"year";"pk_race_id";"load_date";"gap_first";"time";"average_speed"
"647b8768-8555-49c6-bb85-86d81b0a0f63";"6fe10364-8772-4aa1-a883-3fe85fd15971";"7a70e5e9-9d5d-4925-9753-3880a7cdc6a4";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"10/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"27/6/1970";"6";"1970";"181f346544b082fd7f9b2f0175b3d206b8163c1be7269ce831597907f1cca315";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"e12fca93-a860-40a9-ade0-2c8e8d2f111d";"b72d756e-5fdd-4b28-9bd5-4a66bd068b37";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"04/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"1f122a52d80c08707536e63fc6a1ea0e48b6cbc2b279a1c67f2f8e89191f2466";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"192571b8-1d5a-4e70-9640-39cf815fbe03";"7c861a94-c989-4164-b4a2-c72682a1b230";"8e158c6b-1e5a-4763-9ff3-c3f11f141aeb";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1989";"6";"1989";"207f6327785c2f9790ca765b1435c7d2715055443504c05361ac7dc68ac2a137";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"2b2da471-2a59-481b-8db0-b234fa22083b";"d970e89f-a7ce-4f46-a1a5-7ea926b59582";"7b69c071-2416-4e24-81e0-ea9a6b8978a4";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"14/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"23/6/1979";"6";"1979";"36beb17babab7b222a6d9803b3a3a6b76e885b29e0e874edb326536b65c9b9c1";"17/9/2024 16:29";"0.000 s";"0 s";"0 km/h"
"2b2da471-2a59-481b-8db0-b234fa22083b";"f28540cc-746f-44cf-83b4-a5cd435dde59";"02503a2e-b0f6-42ca-93dc-5fa704dcd7c0";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"12/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"23/6/1979";"6";"1979";"4df4defe5d5ff9b3c70c7c9401717b1ce40e8be8e86c9f2ae9db831f9b534da2";"17/9/2024 16:29";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"87953307-5328-476f-991f-39f78fad2295";"10d72b15-24ce-42e6-aa4c-59cb36aa36eb";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"09/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"58ee010646945226e81491695fc611df71510b98016057f309b3edafe83856ff";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"ce9df0dc-19c3-43ab-8ad6-9c61f9bbec67";"f83ea00c-a2ac-4719-843a-5a46bfd5ea5e";"60ea697d-b661-42cf-9d7b-ac81cf837b02";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"11/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"25/6/1960";"6";"1960";"67eeb55034a8e94b57d198b4ca8778b2f0f71d6323dbef23c06dd1b63f6f3562";"16/9/2024 21:41";"0.000 s";"0 s";"0 km/h"
"192571b8-1d5a-4e70-9640-39cf815fbe03";"090759cc-38b8-48c5-b135-9e8bd9ed5cda";"2b455cc0-95f0-4b96-a5fc-94cf79205bf0";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1989";"6";"1989";"789be2a3417217841c264dfa664c30e5e5d9e2a55559811471ddff6be272c58b";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"5a85bc7c-7496-492f-953d-8ec6cc7459b8";"ba29b4c9-8869-432e-a6af-3a661886bda1";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"8372e32a59c799c52ff05a3b9fc763e6fcb48072b421c9eb54563727990205b2";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"8b9803b2-d018-4533-a815-5f066905161f";"6f6edf2b-5150-4320-bdbc-a60d33036d46";"991a2272-da62-4361-8150-54cdf275d729";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"10/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"26/6/1971";"6";"1971";"929050888a2642b7b55dda045678c1f1a6d2452341208e3b2839c161cb86ec8d";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
