"pk_team_id";"team_name";"team_color";"sponsored_team";"constructor_name";"picture_url";"bike_picture_url";"load_date"
"0150fb9b-94cc-42de-a3a1-f36e47e92b09";"Rizla Suzuki MotoGP";"Sin datos";"Sin datos";"Suzuki";"Sin datos";"Sin datos";"19/9/2024 23:27"
"01e52179-1e60-4ba3-8330-6ff2962e1c62";"Repsol Honda Team";"Sin datos";"Sin datos";"Honda";"Sin datos";"Sin datos";"19/9/2024 23:27"
"028ffacc-1fea-4e14-b587-1054453ec928";"Repsol Honda Team";"Sin datos";"Sin datos";"Honda";"Sin datos";"Sin datos";"20/9/2024 14:26"
"046b437f-f35a-4351-b400-b73281589fe8";"LCR Honda MotoGP";"Sin datos";"Sin datos";"Honda";"Sin datos";"Sin datos";"20/9/2024 09:39"
"088be661-347b-4a31-8282-f3108ad98707";"Konica Minolta Honda";"Sin datos";"Sin datos";"Honda";"Sin datos";"Sin datos";"19/9/2024 19:15"
"0989d07e-30de-47b2-a549-53f81a66119d";"GASGAS Factory Racing Tech3";"Sin datos";"Sin datos";"KTM";"Sin datos";"Sin datos";"20/9/2024 14:26"
"0cb9c042-1a7b-49cb-8b99-09078a075cc2";"Cardion AB Motoracing";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 09:39"
"0e6ea075-96c3-40ef-8f14-4bf9ebb1fb8a";"Team Suzuki MotoGP";"Sin datos";"Sin datos";"Suzuki";"Sin datos";"Sin datos";"20/9/2024 09:39"
"0ea1ac08-880c-4f97-803d-404cfd2db7c7";"NGM Mobile Forward Racing";"Sin datos";"Sin datos";"Suter";"https://photos.motogp.com/2020/teams/motogp/original/team_bike_11_1574329097.jpg";"Sin datos";"20/9/2024 09:39"
"0ed78761-5c33-4b21-ac7b-aee1e8a3f297";"Pramac Racing";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 14:26"
"1333eaca-5150-4c4a-8482-d299a4de6325";"Ducati Lenovo Team";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 14:26"
"13fa1194-4eb0-4842-9c07-fa628b7df231";"Konica Minolta Honda";"Sin datos";"Sin datos";"Honda";"Sin datos";"Sin datos";"19/9/2024 23:27"
"19bb257c-b518-4618-8d05-a2fe70e66237";"Paul Bird Motorsport";"Sin datos";"Sin datos";"PBM";"Sin datos";"Sin datos";"20/9/2024 09:39"
"1c58a0f8-31a2-4a4e-a6de-f2b333326784";"Ducati Test Team";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 09:39"
"1f63a548-5065-4004-97f7-a04e6b5a23c6";"Yamalube Yamaha Factory Racing";"Sin datos";"Sin datos";"Yamaha";"Sin datos";"Sin datos";"20/9/2024 12:50"
"1f95312b-0fd1-4ee0-bec1-e5019512155d";"Fiat Yamaha Team";"Sin datos";"Sin datos";"Yamaha";"https://photos.motogp.com/2020/teams/motogp/original/team_bike_19_1574329098.jpg";"Sin datos";"19/9/2024 23:27"
